Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,6.8pF,
"C10, C11, C5, C6, C8",0805,5,100nF,
"C12, C13",CP_Radial_D6.3mm_P2.50mm,2,10uF,
"C3, C4",0805,2,22pF,
C7,0805,1,4.7uF,
D2,0805,1,Red,
DS1,ILI9341,1,ILI9341,
IC1,QFP50P900X900X160-48N,1,STM32G071CBT6,C432212
"J4, J5",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
R1,0805,1,150R,
SW1,SW_SPST_PTS645Sx43SMTR92,1,RESET,C7470157
SW2,SW_SPST_PTS645Sx43SMTR92,1,BOOT0,C7470157
SW3,SW_SPST_PTS645Sx43SMTR92,1,USER,C7470157
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz 6pF,C95361
Y2,Crystal_SMD_HC49-SD,1,16MHz 16pF,C19631568
