Designator,Mid X,Mid Y,Rotation,Layer
C1,102.0,-92.0,0.0,top
C10,128.0,-127.0,180.0,top
C11,113.0,-120.5,0.0,top
C12,125.5,-133.06762,270.0,top
C13,120.0,-115.432379,90.0,top
C2,102.0,-95.0,0.0,top
C3,100.5,-98.5,0.0,top
C4,100.5,-107.5,0.0,top
C5,126.0,-91.45,90.0,top
C6,113.0,-88.55,270.0,top
C7,110.5,-88.5,270.0,top
C8,115.5,-88.5,270.0,top
D2,136.0,-64.73,180.0,top
DS1,114.0,-99.5,0.0,bottom
IC1,116.5,-97.0,0.0,top
J4,133.5,-130.5,180.0,top
J5,133.5,-117.5,180.0,top
R1,131.5,-64.73,0.0,top
SW1,133.5,-91.23,0.0,top
SW2,133.5,-81.23,0.0,top
SW3,133.5,-71.23,0.0,top
U1,120.0,-124.0,270.0,top
Y1,107.0,-93.5,270.0,top
Y2,105.5,-103.0,90.0,top
